张红,123456789101112131,北京,1000.0,123456789101112131,1
李58,920742150828166565,深圳,4628.15,123456789101112131,3
孙89,041208047482871306,深圳,4903.64,920742150828166565,5
王4,035305950282614084,深圳,4215.07,920742150828166565,5
李16,352589703943441147,广州,1029.0,035305950282614084,2
王63,033140357682246033,杭州,4190.69,920742150828166565,1
周25,866214731968871801,北京,2397.68,123456789101112131,2
吴13,525767380547458580,杭州,4655.49,352589703943441147,1
周51,459727009133722737,杭州,3922.37,866214731968871801,4
赵78,930067850047439942,杭州,2454.3,033140357682246033,1
王3,617055211632770462,深圳,4196.5,033140357682246033,5
周54,681659530724005450,深圳,4839.14,033140357682246033,3
周38,042485667998067503,上海,3798.55,123456789101112131,1
赵85,396870021514170013,北京,4463.23,525767380547458580,4
周2,280708041377940976,北京,2666.61,617055211632770462,2
周92,995007222263659572,广州,1745.22,866214731968871801,3
郑70,869126006934140795,北京,1173.21,920742150828166565,2
赵62,701533655701236693,杭州,2156.41,033140357682246033,2
王22,861222219478814798,深圳,3725.46,035305950282614084,3
王25,122832131738783367,杭州,2558.26,352589703943441147,2
钱46,155026834793028831,杭州,4817.94,920742150828166565,2
钱19,175135430262007456,深圳,2051.97,995007222263659572,3
王26,254254034301673409,广州,3163.16,280708041377940976,5
钱13,959844122152039232,杭州,3276.94,869126006934140795,1
周70,824747484596953921,北京,2465.8,930067850047439942,5
钱58,565684201337427518,杭州,1428.88,869126006934140795,4
孙62,911968168371068648,杭州,2269.8,033140357682246033,5
李76,463564318103783420,北京,1871.28,041208047482871306,4
李28,765956678426692736,上海,4123.35,033140357682246033,4
钱37,390408546836691464,深圳,1678.18,352589703943441147,5
周29,314709696263875329,杭州,3654.23,701533655701236693,3
李59,843736782561384199,上海,3958.27,122832131738783367,5
钱88,490854032592830360,北京,2775.01,459727009133722737,4
李75,448207951660615003,杭州,3373.66,390408546836691464,3
周71,867549333352307967,深圳,1226.87,490854032592830360,1
钱31,687147063266084823,深圳,2949.72,396870021514170013,5
钱97,678978306778429577,北京,1911.89,959844122152039232,1
吴36,947017493247387743,深圳,1555.91,920742150828166565,2
吴91,983868231982429423,杭州,4894.0,765956678426692736,2
周55,193860504040782086,广州,1187.89,867549333352307967,2
钱24,397428566609276237,广州,4097.99,959844122152039232,5
周29,009666608994907371,北京,1126.05,867549333352307967,2
周84,033787870133311421,北京,1111.5,947017493247387743,3
王1,066902052028417727,杭州,4665.43,681659530724005450,1
王4,650468973468429116,北京,3241.95,869126006934140795,2
周28,143668436786839811,上海,1939.88,930067850047439942,5
钱75,264948113457725019,杭州,4456.88,193860504040782086,3
李59,271239788512133383,上海,2450.54,681659530724005450,2
钱84,799877943259261783,上海,2213.81,867549333352307967,1
郑32,691672095308924276,杭州,3428.49,041208047482871306,2
王68,411187701431411183,深圳,2285.41,869126006934140795,3
