123456789101112131,P6,0.97
123456789101112131,P8,0.9
123456789101112131,P10,0.61
123456789101112131,P1,1.0
123456789101112131,P7,0.75
123456789101112131,P4,0.88
123456789101112131,P9,0.53
123456789101112131,P5,0.84
123456789101112131,P2,0.71
920742150828166565,P7,0.53
920742150828166565,P4,0.64
920742150828166565,P9,0.86
920742150828166565,P10,0.99
041208047482871306,P10,0.99
041208047482871306,P1,0.62
041208047482871306,P8,0.85
041208047482871306,P6,0.86
041208047482871306,P2,0.73
041208047482871306,P7,0.85
041208047482871306,P5,0.96
041208047482871306,P3,0.69
035305950282614084,P7,0.81
035305950282614084,P2,0.75
035305950282614084,P5,0.75
035305950282614084,P1,0.52
035305950282614084,P4,0.92
035305950282614084,P6,0.67
035305950282614084,P9,0.98
035305950282614084,P8,0.67
352589703943441147,P4,1.0
352589703943441147,P10,0.69
352589703943441147,P1,0.68
352589703943441147,P2,0.58
352589703943441147,P9,0.81
352589703943441147,P5,0.73
352589703943441147,P7,0.77
033140357682246033,P5,0.73
033140357682246033,P10,0.96
033140357682246033,P4,0.55
033140357682246033,P6,0.52
033140357682246033,P8,0.51
033140357682246033,P2,0.93
033140357682246033,P9,0.83
033140357682246033,P1,0.51
866214731968871801,P8,0.65
866214731968871801,P10,0.7
866214731968871801,P2,0.83
866214731968871801,P4,0.73
866214731968871801,P3,0.57
866214731968871801,P6,0.84
866214731968871801,P1,0.59
525767380547458580,P4,0.64
525767380547458580,P3,0.8
525767380547458580,P2,0.88
525767380547458580,P10,0.53
525767380547458580,P6,0.5
525767380547458580,P5,0.67
525767380547458580,P1,0.51
525767380547458580,P9,0.63
459727009133722737,P7,0.53
459727009133722737,P2,0.74
459727009133722737,P3,0.68
459727009133722737,P10,0.9
459727009133722737,P4,0.59
459727009133722737,P8,0.61
459727009133722737,P1,0.57
930067850047439942,P4,0.69
930067850047439942,P8,0.64
930067850047439942,P2,0.55
930067850047439942,P9,0.83
930067850047439942,P6,0.91
930067850047439942,P10,0.84
930067850047439942,P5,0.71
930067850047439942,P7,0.79
930067850047439942,P1,0.58
617055211632770462,P5,0.99
617055211632770462,P3,0.87
617055211632770462,P10,0.87
617055211632770462,P8,0.84
617055211632770462,P1,0.91
681659530724005450,P7,0.62
681659530724005450,P10,0.78
681659530724005450,P4,0.51
681659530724005450,P8,0.89
681659530724005450,P6,0.96
681659530724005450,P9,0.6
681659530724005450,P3,0.66
